area,year,unemployment rate
"San Angelo, TX",2010,6.5301
"San Angelo, TX",2011,6.2395
"San Angelo, TX",2012,5.3205
"San Angelo, TX",2013,5.1448
"San Angelo, TX",2014,4.0249
"San Angelo, TX",2015,4.0896
"San Angelo, TX",2016,4.4565
"San Angelo, TX",2017,3.6696
"San Antonio-New Braunfels, TX",2007,4.0285
"San Antonio-New Braunfels, TX",2008,4.5756
"San Antonio-New Braunfels, TX",2009,6.6737
"San Antonio-New Braunfels, TX",2010,7.2367
"San Antonio-New Braunfels, TX",2011,7.1256
"San Antonio-New Braunfels, TX",2012,6.2627
"San Antonio-New Braunfels, TX",2013,5.7931
"San Antonio-New Braunfels, TX",2014,4.6311
"San Antonio-New Braunfels, TX",2015,3.7995
"San Antonio-New Braunfels, TX",2016,3.7636
"San Antonio-New Braunfels, TX",2017,3.4856
"Sherman-Denison, TX",2007,4.5636
"Sherman-Denison, TX",2008,5.1161
"Sherman-Denison, TX",2009,7.9502
"Sherman-Denison, TX",2010,8.1848
"Sherman-Denison, TX",2011,7.8771
"Sherman-Denison, TX",2012,6.8475
"Sherman-Denison, TX",2013,6.2618
"Sherman-Denison, TX",2014,4.8444
"Sherman-Denison, TX",2015,4.0221
"Sherman-Denison, TX",2016,3.8480000000000003
"Sherman-Denison, TX",2017,3.4879
"Texarkana, TX-AR",2007,4.5719
"Texarkana, TX-AR",2008,4.5888
"Texarkana, TX-AR",2009,6.2905
"Texarkana, TX-AR",2010,7.5977
"Texarkana, TX-AR",2011,7.6621
"Texarkana, TX-AR",2012,6.9785
"Texarkana, TX-AR",2013,7.2576
"Texarkana, TX-AR",2014,6.1616
"Texarkana, TX-AR",2015,4.913
"Texarkana, TX-AR",2016,4.5316
"Texarkana, TX-AR",2017,4.4977
"Tyler, TX",2007,4.147
"Tyler, TX",2008,4.8214
"Tyler, TX",2009,7.5607
"Tyler, TX",2010,7.9493
"Tyler, TX",2011,7.7806
"Tyler, TX",2012,7.0315
"Tyler, TX",2013,6.5411
"Tyler, TX",2014,5.2031
"Tyler, TX",2015,4.4672
"Tyler, TX",2016,4.5196
"Tyler, TX",2017,4.058
"Victoria, TX",2007,3.4503
"Victoria, TX",2008,3.7644
"Victoria, TX",2009,6.9099
"Victoria, TX",2010,7.6435
"Victoria, TX",2011,6.7255
"Victoria, TX",2012,5.5767
"Victoria, TX",2013,5.3234
"Victoria, TX",2014,4.1528
"Victoria, TX",2015,4.2006
"Victoria, TX",2016,5.4459
"Victoria, TX",2017,4.8292
"Waco, TX",2007,4.2495
"Waco, TX",2008,4.5472
"Waco, TX",2009,6.8478
"Waco, TX",2010,7.4268
"Waco, TX",2011,7.4773
"Waco, TX",2012,6.68
"Waco, TX",2013,6.2335
"Waco, TX",2014,5.0685
"Waco, TX",2015,4.0709
"Waco, TX",2016,3.9759
"Waco, TX",2017,3.8684
"Wichita Falls, TX",2007,4.0381
"Wichita Falls, TX",2008,4.666
"Wichita Falls, TX",2009,7.3683
"Wichita Falls, TX",2010,7.6639
"Wichita Falls, TX",2011,6.8020000000000005
"Wichita Falls, TX",2012,6.0028
"Wichita Falls, TX",2013,5.7872
"Wichita Falls, TX",2014,4.8229
"Wichita Falls, TX",2015,4.2959
"Wichita Falls, TX",2016,4.3469
"Wichita Falls, TX",2017,3.6652
